day,date_offset,platform,page_name,post_type,content_pillar,post_text,media_brief,cta,link,scheduled_date,scheduled_time,timezone,status,notes
"1","Day 1","Facebook","Tikpal","Image","Road to Crowdfunding","Welcome to Tikpal. We are building an all-in-one Hi-Fi home audio system for focus, calm, sleep, and pure listening. This page will document the road to crowdfunding: prototype notes, sound tuning, interface tests, design decisions, and community review. If something is still being tested, we will say so. Thanks for following the build.","Prototype hero render or clean mood board showing the quiet Hi-Fi object and ambient display.","Follow Tikpal for build notes.","{website_url}","","20:30","Asia/Shanghai","Draft","Pinned candidate."
"2","Day 2","Facebook","Tikpal","Image","Product Architecture","Why bring the amplifier, DAC, speakers, streamer, display, and software together? Because the room experience depends on the whole path. Tikpal is being designed as one system so sound, source control, display behavior, and daily use can be tuned together. That does not remove tradeoffs. It makes them visible earlier.","Simple system block diagram with amplifier, DAC, speakers, streamer, display, and software blocks.","Comment with the system you listen to today.","","","20:30","Asia/Shanghai","Draft","Architecture introduction."
"3","Day 3","Facebook","Tikpal","Poll","Design Vote","Design Vote: ambient display density. We are testing three directions for the room canvas. A: Minimal - time, room mode, and a quiet playback line. B: Balanced - time, mode, track title, and soft progress. C: Detailed - more source and audio information visible at rest. Which direction feels most like a calm Hi-Fi object for the home? Vote A, B, or C in the comments.","Three UI mockups showing minimal, balanced, and detailed ambient display density.","Vote A, B, or C.","","","20:30","Asia/Shanghai","Draft","Design vote."
"4","Day 4","Facebook","Tikpal","Image","Sound Tuning","Sound Tuning Notes: early preset directions. The current prototype is exploring Flat, Warm, and Vocal listening modes. Flat is the reference direction. Warm is for comfortable low-volume sessions. Vocal is for presence and clarity without pushing the sound into harshness. These names are prototypes, not final claims. Which character do you usually reach for at home?","Three simple EQ preset cards on a dark background.","Comment with Flat, Warm, or Vocal.","","","20:30","Asia/Shanghai","Draft","Avoid final EQ claims."
"5","Day 5","Facebook","Tikpal","Image","Prototype Diary","Prototype Diary: streamer software. Tikpal is currently testing the software path that connects local library playback, radio, Spotify Connect, AirPlay, Bluetooth, and DLNA into one calmer control surface. Not every source behaves the same way, so the interface needs to show truthful states without feeling busy.","Bench setup photo with Raspberry Pi, display, and listening notes.","Tell us which source matters most to you.","","","11:30","Asia/Shanghai","Draft","Technical but accessible."
"6","Day 6","Facebook","Tikpal","Image","Listening Rooms","Focus mode is not meant to be a productivity claim. It is a room state: lower visual noise, direct audio control when needed, and a display that can stay present without asking for attention. We are designing Tikpal so the room feels ready before the controls appear.","Desk or reading room scene with low-information display.","Save this if you care about quiet workspaces.","","","20:30","Asia/Shanghai","Draft","Avoid wellness or productivity claims."
"7","Day 7","Facebook","Tikpal","Carousel","Build Log","Build Log: Week 1. This week we clarified the public story for Tikpal: an all-in-one Hi-Fi home audio system, built around Focus, Calm, Sleep, and Hi-Fi listening. We also mapped the first month of development updates. Open questions: how much information should the ambient display show, and which source workflows matter most to future backers?","Four-panel recap: product direction, display density, sound presets, open questions.","Ask us one question for next week.","","","11:30","Asia/Shanghai","Draft","Weekly recap."
"8","Day 8","Facebook","Tikpal","Image","Road to Crowdfunding","Road to Crowdfunding: Tikpal has a display, but the display is not meant to behave like a phone or tablet. The default surface is a room canvas: readable from a distance, low information, and calm enough to leave on during listening. Playback controls are still there. They appear when needed.","Ambient display close-up on a shelf or audio rack.","Follow for more product decisions before crowdfunding.","{kickstarter_preview_url}","","20:30","Asia/Shanghai","Draft","Preview link placeholder."
"9","Day 9","Facebook","Tikpal","Poll","Design Vote","Design Vote: surface skin direction. We are testing three visual skins for the interface. A: Warm Gold - warmer Hi-Fi highlights. B: Graphite Silver - cooler and more technical. C: Ivory Studio - softer and lighter while staying restrained. Which one feels most at home in a listening room?","Three UI skin swatches labeled Warm Gold, Graphite Silver, and Ivory Studio.","Vote A, B, or C.","","","20:30","Asia/Shanghai","Draft","Use product skin names."
"10","Day 10","Facebook","Tikpal","Image","Sound Tuning","Sound Tuning Notes: impressions versus measurements. Listening impressions help us describe how a prototype feels. Measurements help us check whether a change is repeatable. Tikpal needs both. When we share tuning notes, we will separate what we heard, what we checked, and what is still not final.","Photo of listening notebook next to measurement screen.","Suggest one track we should use for tuning checks.","","","20:30","Asia/Shanghai","Draft","Ask for community input."
"11","Day 11","Facebook","Tikpal","Image","Prototype Diary","Prototype Diary: source handoff. Library and radio behave like direct playback sources. AirPlay, Bluetooth, and DLNA behave more like intake paths: Tikpal opens the path, waits for a device, then confirms the connection. The interface should stay calm, but the status still has to be truthful.","Source rail UI capture showing Library, Radio, Spotify, AirPlay, Bluetooth, DLNA.","Comment with your most-used source.","","","11:30","Asia/Shanghai","Draft","Use truthful source language."
"12","Day 12","Facebook","Tikpal","Image","Product Architecture","The room canvas is the default Tikpal surface. It shows only what the room needs at rest: mode, time, playback status, and subtle progress. The idea is simple: daily listening should not require entering a settings screen, and the display should not compete with the music.","Ambient display mockup with restrained HUD.","Where would Tikpal live in your home?","","","20:30","Asia/Shanghai","Draft","Room canvas education."
"13","Day 13","Facebook","Tikpal","Image","Community Review","Question: Is Tikpal just a streamer with a screen? Current answer: no. The streamer is one part of the system. Tikpal is being designed around the full room experience: sound path, display behavior, source handoff, playback control, and room modes working together. Some details are still prototypes, and we will keep showing the tradeoffs.","Text card with the question and short answer.","Leave a technical question for the next review post.","","","20:30","Asia/Shanghai","Draft","Community response format."
"14","Day 14","Facebook","Tikpal","Carousel","Build Log","Build Log: Week 2. This week we focused on three areas: display density, source status language, and early sound preset framing. The main lesson is that calm does not mean vague. A quiet interface still has to tell the listener what is happening, especially when a source is waiting for connection.","Recap carousel with display, source, tuning, next steps.","Tell us what you want to see next week.","","","11:30","Asia/Shanghai","Draft","Weekly recap."
"15","Day 15","Facebook","Tikpal","Image","Road to Crowdfunding","Road to Crowdfunding: before launch, we want to show the work behind the product. That includes prototype behavior, tuning notes, design votes, hardware and software tradeoffs, and the questions we have not answered yet. The crowdfunding page can tell the polished story later. This page is for the build.","Roadmap card: prototype, sound, display, manufacturing, crowdfunding preview.","Join the preview list when the link is ready.","{kickstarter_preview_url}","","20:30","Asia/Shanghai","Draft","Do not imply launch is live."
"16","Day 16","Facebook","Tikpal","Poll","Design Vote","Design Vote: control priority. Tikpal is touch-first today, with future compatibility for other control methods. If you could choose one physical or secondary control to prioritize, what would it be? A: rotary control. B: remote control. C: mobile controller. D: keep the main surface touch-first. Tell us why.","Control concept sketch with touch, rotary, remote, and mobile icons.","Vote A, B, C, or D.","","","20:30","Asia/Shanghai","Draft","Future-looking, no commitment."
"17","Day 17","Facebook","Tikpal","Image","Sound Tuning","Sound Tuning Notes: low-volume listening. A lot of home listening happens below showpiece volume. We are testing how the prototype feels when music is quiet enough for evening, reading, or background sessions. The goal is not louder. The goal is useful balance at realistic volume.","Late-evening listening scene with notebook.","What volume do you usually listen at: low, medium, or room-filling?","","","20:30","Asia/Shanghai","Draft","Avoid performance promises."
"18","Day 18","Facebook","Tikpal","Image","Prototype Diary","Prototype Diary: modes versus playlists. Focus, Calm, Sleep, and Hi-Fi are not just labels for playlists. They are room modes: different combinations of display behavior, sound intent, brightness, source control, and listening context. This helps Tikpal feel less like an app menu and more like an audio object for the room.","Mode chooser UI capture.","Comment with the mode you would use first.","","","20:30","Asia/Shanghai","Draft","Explain core product model."
"19","Day 19","Facebook","Tikpal","Image","Listening Rooms","Calm mode is being shaped as a softer room state: less visual density, gentler display behavior, and audio control that stays available without taking over the screen. This is one of the places where Tikpal's display matters most. It should support the room, not dominate it.","Evening room scene with calm ambient display.","When does music become background for you?","","","20:30","Asia/Shanghai","Draft","No wellness claims."
"20","Day 20","Facebook","Tikpal","Image","Community Review","Fair concern: all-in-one audio can become a compromise if integration is used as an excuse. For Tikpal, integration is the constraint. The sound path, thermal behavior, display, controls, and serviceability have to be considered together. We will keep documenting those tradeoffs before crowdfunding.","Component stack diagram or prototype layout sketch.","Tell us your biggest concern about all-in-one audio.","","","20:30","Asia/Shanghai","Draft","Respect skepticism."
"21","Day 21","Facebook","Tikpal","Carousel","Build Log","Build Log: Week 3. This week we reviewed source behavior, room modes, and low-volume tuning notes. The clearest open tradeoff is information density: listeners need enough status to trust the system, but not so much that the room canvas becomes a dashboard.","Desk notes photo with three highlighted lessons.","Share one piece of feedback for the next prototype pass.","","","11:30","Asia/Shanghai","Draft","Weekly recap."
"22","Day 22","Facebook","Tikpal","Image","Road to Crowdfunding","Road to Crowdfunding: trust before support. Before asking anyone to back Tikpal, we want to publish the basics: what the prototype does, what is still changing, how we are thinking about sound, how the display behaves, and which questions remain open. That is the purpose of this 30-day series.","Trust checklist card with tested, changing, open, next.","Follow for measurement and prototype updates.","{website_url}","","20:30","Asia/Shanghai","Draft","Soft trust message."
"23","Day 23","Facebook","Tikpal","Poll","Design Vote","Design Vote: what should we document next? A: sound tuning notes. B: display and room canvas behavior. C: industrial design and materials. D: source support and software flow. We will keep covering all four, but your vote helps choose the next deeper post.","Four-topic poll card.","Vote A, B, C, or D.","","","20:30","Asia/Shanghai","Draft","Community planning."
"24","Day 24","Facebook","Tikpal","Image","Sound Tuning","Sound Tuning Notes: Vocal direction. The early goal is presence without glare. Voices should feel clear enough for attentive listening, but not pushed so far forward that long sessions become tiring. This is still prototype language, and the final curve may change after more listening and measurement.","Speaker photo with vocal tuning notebook.","Suggest a vocal recording for testing.","","","20:30","Asia/Shanghai","Draft","Avoid final tuning claims."
